"Order","OriginalFile","Width","Height","SizeKB","PrevText","NextText"
"1","image8.png","284","110","4.2","Bachelor of Science (Honours) in Artificial Intelligence and Educational Technology | in April 2026 | Declaration","Signed_____________ | LI Chung Dick | 7-April-2026"
"2","image19.jpg","922","2048","178.7","Keywords: Retrieval-Augmented Generation, AI hallucination, food portion estimation, EXIF metadata, MobileSAM, human-in-the-loop | 1. Introduction | Nutritional analysis programs that rely on artificial intelligence have become popular, although there have been questions about the accuracy of these systems. When several artificial intelligence programs estimated the caloric value of the same photograph, results varied from 300 to 700 kcal.","Figure 1       Figure 2     Figure 3 | Such inconsistencies arise due to two reasons: (i) The LLM hallucinates nutrition facts by giving possible numbers that have not been validated, and (ii) The LLM is innately incapable of correctly estimating the quantity of food in an image because it does not understand spatial dimensions."
"3","image17.jpg","922","2048","178.6","Keywords: Retrieval-Augmented Generation, AI hallucination, food portion estimation, EXIF metadata, MobileSAM, human-in-the-loop | 1. Introduction | Nutritional analysis programs that rely on artificial intelligence have become popular, although there have been questions about the accuracy of these systems. When several artificial intelligence programs estimated the caloric value of the same photograph, results varied from 300 to 700 kcal.","Figure 1       Figure 2     Figure 3 | Such inconsistencies arise due to two reasons: (i) The LLM hallucinates nutrition facts by giving possible numbers that have not been validated, and (ii) The LLM is innately incapable of correctly estimating the quantity of food in an image because it does not understand spatial dimensions."
"4","image15.jpg","922","2048","189.1","Keywords: Retrieval-Augmented Generation, AI hallucination, food portion estimation, EXIF metadata, MobileSAM, human-in-the-loop | 1. Introduction | Nutritional analysis programs that rely on artificial intelligence have become popular, although there have been questions about the accuracy of these systems. When several artificial intelligence programs estimated the caloric value of the same photograph, results varied from 300 to 700 kcal.","Figure 1       Figure 2     Figure 3 | Such inconsistencies arise due to two reasons: (i) The LLM hallucinates nutrition facts by giving possible numbers that have not been validated, and (ii) The LLM is innately incapable of correctly estimating the quantity of food in an image because it does not understand spatial dimensions."
"5","image12.png","2048","890","163","3. Methodology and System Design | The system adopts an iterative development approach in which its architecture is structured into three interlinked pipelines, namely food tracking, nutrition intelligence (chat), and dashboard monitoring.","Figure 4: System Architecture — Three connected pipelines sharing Supabase and Gemini services. | RAG Pipeline Design. Food logging pipeline consists of three stages. Firstly, food recognition is done through Gemini 3.1 Flash Lite by identifying the name of the food through the picture captured. Secondly, CFS database is searched via the following hybrid strategy: text matching (ILIKE) is done to identify common Chinese food items, while semantic vector search using pgvector 768-dimensional embedding of text-embedding-3-small is done for different naming schemes used for certain foods, with the cosine similarity being 0.6. Lastly, nutrition information identified via food name, along with the original image taken and EXIF data, are provided to Gemini to calculate the final food nutrition information."
"6","image9.png","2048","131","49.4","Figure 4: System Architecture — Three connected pipelines sharing Supabase and Gemini services. | RAG Pipeline Design. Food logging pipeline consists of three stages. Firstly, food recognition is done through Gemini 3.1 Flash Lite by identifying the name of the food through the picture captured. Secondly, CFS database is searched via the following hybrid strategy: text matching (ILIKE) is done to identify common Chinese food items, while semantic vector search using pgvector 768-dimensional embedding of text-embedding-3-small is done for different naming schemes used for certain foods, with the cosine similarity being 0.6. Lastly, nutrition information identified via food name, along with the original image taken and EXIF data, are provided to Gemini to calculate the final food nutrition information.","Figure 5: Three-step RAG Pipeline — from food identification through CFS hybrid search to final nutrition analysis. | Portion Estimation Methods. Three methods were developed and evaluated. | (1) Pure LLM estimation sends just the image of the food object to Gemini, with precisely crafted prompts."
"7","image11.png","1586","2048","321.8","Portion Estimation Methods. Three methods were developed and evaluated. | (1) Pure LLM estimation sends just the image of the food object to Gemini, with precisely crafted prompts. | (2) EXIF + LLM estimation pulls focal length, f-stop, ISO, and resolution from the image's EXIF data, uses these data to compute the physical scale (in cm/pixel) via field-of-view calculations, then adds this spatial information in the form of calibration parameters to the prompt for Gemini. | (3) ARCore + MobileSAM estimation applies MobileSAM (ONNX pair) to the image to segment the object, then uses depth points sampled via ARCore's hit testing to estimate its volume.","Figure 6: Three portion estimation methods — from simple LLM prompting to EXIF-calibrated optics to full ARCore + MobileSAM 3D measurement. | Human-in-the-Loop Design. All output from AI is editable. An expandable reasoning component displays each step within the pipeline—EXIF metadata extraction, food recognition, CFS search results, and AI reasoning—encouraging transparency and AI literacy."
"8","image3.png","530","1108","103.2","Login | Dashboard | Editing Nutrition | History","Photo taking"
"9","image21.jpg","922","2048","115","Dashboard | Editing Nutrition | History","Photo taking | After Analysis"
"10","image16.jpg","922","2048","83.6","Editing Nutrition | History","Photo taking | After Analysis | Detail information"
"11","image18.png","475","924","296.9","History","Photo taking | After Analysis | Detail information | Profile"
"12","image4.png","405","937","48.8","Photo taking | After Analysis | Detail information | Profile",""
"13","image2.png","411","939","349.9","After Analysis | Detail information | Profile",""
"14","image6.png","408","928","236.8","Detail information | Profile",""
"15","image14.png","417","934","122.6","Profile",""
"16","image7.png","412","934","149.7","Chat page with Suggested Questions | Chat response | ArCore + MobileSAM",""
"17","image22.jpg","922","2048","197.8","Chat response | ArCore + MobileSAM","5. Testing and Evaluation"
"18","image13.png","408","936","426.7","ArCore + MobileSAM","5. Testing and Evaluation | Objective 1: RAG vs. Baseline. The benchmark included 50 food items categorized into 10 different groups (prepared foods, cereals, meats, fish, poultry, eggs, vegetables, beans, fruits, and snacks). Estimation results based on baseline LLM and enhanced RAG models were compared against CFS official figures. The nutrition content of each food item was estimated based on its weight per 100g."
"19","image23.png","2000","1200","85.3","Fat | 9.64 g | 9.30 g | 3.5%","Figure 7: Baseline vs RAG: Comparison of MAE for Each Nutrient (Bar Chart) | Figure 8: Scatter plot of calorie predictions for 50 foods"
"20","image1.png","2048","1024","146.4","9.30 g | 3.5% | Figure 7: Baseline vs RAG: Comparison of MAE for Each Nutrient (Bar Chart)","Figure 8: Scatter plot of calorie predictions for 50 foods | Objective 2: Portion Estimation. In terms of actual food items with physically measured size and weight, the accuracy of all three techniques was compared. The combination of EXIF + LLM produced the best results in both portion size and nutrition estimation. Although the combination of ARCore + MobileSAM has better theoretical accuracy, it faced limitations with hardware and plane detection in case of complex surfaces."
"21","image20.jpg","1039","2048","116.7","Figure 8: Scatter plot of calorie predictions for 50 foods | Objective 2: Portion Estimation. In terms of actual food items with physically measured size and weight, the accuracy of all three techniques was compared. The combination of EXIF + LLM produced the best results in both portion size and nutrition estimation. Although the combination of ARCore + MobileSAM has better theoretical accuracy, it faced limitations with hardware and plane detection in case of complex surfaces.","Figure 9: Ten portions of food have been manually measured. | Figure 10: Error comparison chart of three portion estimation methods (average of 10 food portions)"
"22","image10.png","1040","473","32.7","Objective 2: Portion Estimation. In terms of actual food items with physically measured size and weight, the accuracy of all three techniques was compared. The combination of EXIF + LLM produced the best results in both portion size and nutrition estimation. Although the combination of ARCore + MobileSAM has better theoretical accuracy, it faced limitations with hardware and plane detection in case of complex surfaces. | Figure 9: Ten portions of food have been manually measured.","Figure 10: Error comparison chart of three portion estimation methods (average of 10 food portions) | 6. Results and Discussion | RAG improved the error in calorie hallucinations by 90.3% (mean absolute error dropped from 21.56 kcal to 2.10 kcal), which demonstrated the feasibility of using information grounded in reputable external sources for estimating nutritional facts via LLMs. Calorie and carbohydrate estimates were most improved, nevertheless, estimating fats was still a problem. It turned out that the reason for this was related to the inconsistent extraction of the data. Namely, the parsing of the fat_g variable in the CFS dataset through the faulty crawling logic led to the distortion of the data. As a consequence, noise in the extracted information made it impossible for the RAG model to estimate lipids."
"23","image5.png","931","387","31.3","Figure 10: Error comparison chart of three portion estimation methods (average of 10 food portions) | 6. Results and Discussion | RAG improved the error in calorie hallucinations by 90.3% (mean absolute error dropped from 21.56 kcal to 2.10 kcal), which demonstrated the feasibility of using information grounded in reputable external sources for estimating nutritional facts via LLMs. Calorie and carbohydrate estimates were most improved, nevertheless, estimating fats was still a problem. It turned out that the reason for this was related to the inconsistent extraction of the data. Namely, the parsing of the fat_g variable in the CFS dataset through the faulty crawling logic led to the distortion of the data. As a consequence, noise in the extracted information made it impossible for the RAG model to estimate lipids.","Figure 11: Examples of missing fat_g values (NULL) in the extracted CFS database due to crawling logic errors | Regarding part recognition, the solution that combined EXIF had the best tradeoff of accuracy and feasibility, since it required no extra equipment, scanning, or plane detection, only regular image metadata. Meanwhile, the ARCore + MobileSAM solution was technically very advanced but was not feasible because of the necessity of scanning and the low success rate on busy surfaces."
